,longitude,latitude,day,month,year,native,species,DOY,geometry,ClimateDivision
4,-122.378,38.503,10,04,1969,yes,Lasthenia californica,100,POINT (-122.378 38.503),1
5,-122.383,38.505,10,04,1971,yes,Lasthenia californica,100,POINT (-122.383 38.505),1
6,-122.465,38.588,01,04,1986,yes,Lasthenia californica,91,POINT (-122.465 38.588),1
7,-122.469,38.591,02,04,1986,yes,Lasthenia californica,92,POINT (-122.469 38.591),1
8,-122.383,38.502,17,04,1985,yes,Lasthenia californica,107,POINT (-122.383 38.502),1
9,-122.44,38.568,20,04,1972,yes,Lasthenia californica,111,POINT (-122.44 38.568),1
10,-122.44,38.568,20,04,1972,yes,Lasthenia californica,111,POINT (-122.44 38.568),1
11,-122.458,38.562,18,04,1972,yes,Lasthenia californica,109,POINT (-122.458 38.562),1
12,-123.176,41.416,04,09,1968,yes,Lasthenia californica,248,POINT (-123.176 41.416),1
13,-122.453,38.57,19,04,1972,yes,Lasthenia californica,110,POINT (-122.453 38.57),1
14,-122.45,38.573,04,04,1972,yes,Lasthenia californica,95,POINT (-122.45 38.573),1
15,-122.458,38.562,20,04,1972,yes,Lasthenia californica,111,POINT (-122.458 38.562),1
16,-122.447,38.577,05,04,1970,yes,Lasthenia californica,95,POINT (-122.447 38.577),1
17,-123.311,40.025,24,05,1980,yes,Lasthenia californica,145,POINT (-123.311 40.025),1
18,-123.394,40.004,25,05,1980,yes,Lasthenia californica,146,POINT (-123.394 40.004),1
19,-122.28,38.246,01,05,1983,yes,Lasthenia californica,121,POINT (-122.28 38.246),1
20,-122.447,38.577,05,04,1970,yes,Lasthenia californica,95,POINT (-122.447 38.577),1
27,-123.161,39.201,29,04,2013,yes,Lasthenia californica,119,POINT (-123.161 39.201),1
31,-123.811,39.45,07,04,1983,yes,Lasthenia californica,97,POINT (-123.811 39.45),1
32,-123.765,39.196,06,06,2000,yes,Lasthenia californica,158,POINT (-123.765 39.196),1
33,-122.655,38.583,02,04,1995,yes,Lasthenia californica,92,POINT (-122.655 38.583),1
34,-122.186,38.128,12,04,2005,yes,Lasthenia californica,102,POINT (-122.186 38.128),1
35,-122.219,38.157,20,04,2011,yes,Lasthenia californica,110,POINT (-122.219 38.157),1
36,-124.067,40.033,17,06,1974,yes,Lasthenia californica,168,POINT (-124.067 40.033),1
37,-122.202,38.144,13,04,2009,yes,Lasthenia californica,103,POINT (-122.202 38.144),1
46,-124.076,40.028,24,05,1981,yes,Lasthenia californica,144,POINT (-124.076 40.028),1
47,-123.559,40.501,20,04,1977,yes,Lasthenia californica,110,POINT (-123.559 40.501),1
49,-123.409,40.278,25,05,1980,yes,Lasthenia californica,146,POINT (-123.409 40.278),1
50,-122.912,40.593,06,05,1973,yes,Lasthenia californica,126,POINT (-122.912 40.593),1
51,-123.649,39.941,04,05,1976,yes,Lasthenia californica,125,POINT (-123.649 39.941),1
54,-123.459,40.394,16,04,1970,yes,Lasthenia californica,106,POINT (-123.459 40.394),1
55,-123.161,39.78,29,04,1980,yes,Lasthenia californica,120,POINT (-123.161 39.78),1
56,-123.598,38.809,13,06,1979,yes,Lasthenia californica,164,POINT (-123.598 38.809),1
57,-123.396,40.011,25,05,1980,yes,Lasthenia californica,146,POINT (-123.396 40.011),1
58,-123.311,40.025,24,05,1980,yes,Lasthenia californica,145,POINT (-123.311 40.025),1
59,-123.572,39.927,01,05,1977,yes,Lasthenia californica,121,POINT (-123.572 39.927),1
61,-123.649,39.927,17,05,1978,yes,Lasthenia californica,137,POINT (-123.649 39.927),1
63,-123.624,40.886,07,05,1978,yes,Lasthenia californica,127,POINT (-123.624 40.886),1
66,-123.617,40.516,24,05,1975,yes,Lasthenia californica,144,POINT (-123.617 40.516),1
67,-122.613,37.911,22,04,1974,yes,Lasthenia californica,112,POINT (-122.613 37.911),1
84,-122.92,38.158,09,06,2013,yes,Lasthenia californica,160,POINT (-122.92 38.158),1
87,-122.551,38.62,04,05,2014,yes,Lasthenia californica,124,POINT (-122.551 38.62),1
92,-123.649,39.927,17,05,1978,yes,Lasthenia californica,137,POINT (-123.649 39.927),1
94,-122.94,38.033,27,05,1969,yes,Lasthenia californica,147,POINT (-122.94 38.033),1
96,-123.797,39.488,06,06,1966,yes,Lasthenia californica,157,POINT (-123.797 39.488),1
97,-122.94,38.033,27,05,1969,yes,Lasthenia californica,147,POINT (-122.94 38.033),1
